"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J3,J2,J6,J4,J8,J7,J5";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";7;"Conn_01x02";;;
2;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
