  Frequency             DB(V(VOUT))           P(V(VOUT))           
  1.415793779957e-02  2.639355240551e+01  8.194492378267e+01  
  1.419057521689e-02  2.641316236948e+01  8.192659613860e+01  
  1.422328787123e-02  2.643277056840e+01  8.190822789074e+01  
  1.425607593602e-02  2.645237699444e+01  8.188981895661e+01  
  1.428893958511e-02  2.647198163973e+01  8.187136925360e+01  
  1.432187899274e-02  2.649158449638e+01  8.185287869898e+01  
  1.435489433354e-02  2.651118555647e+01  8.183434720991e+01  
  1.438798578256e-02  2.653078481203e+01  8.181577470343e+01  
  1.442115351525e-02  2.655038225507e+01  8.179716109648e+01  
  1.445439770746e-02  2.656997787756e+01  8.177850630586e+01  
  1.448771853545e-02  2.658957167144e+01  8.175981024827e+01  
  1.452111617588e-02  2.660916362861e+01  8.174107284030e+01  
  1.455459080582e-02  2.662875374094e+01  8.172229399839e+01  
  1.458814260275e-02  2.664834200026e+01  8.170347363892e+01  
  1.462177174457e-02  2.666792839838e+01  8.168461167812e+01  
  1.465547840956e-02  2.668751292705e+01  8.166570803211e+01  
  1.468926277644e-02  2.670709557802e+01  8.164676261689e+01  
  1.472312502433e-02  2.672667634297e+01  8.162777534838e+01  
  1.475706533276e-02  2.674625521356e+01  8.160874614234e+01  
  1.479108388168e-02  2.676583218142e+01  8.158967491445e+01  
  1.482518085146e-02  2.678540723815e+01  8.157056158027e+01  
  1.485935642287e-02  2.680498037529e+01  8.155140605524e+01  
  1.489361077711e-02  2.682455158436e+01  8.153220825468e+01  
  1.492794409579e-02  2.684412085684e+01  8.151296809383e+01  
  1.496235656094e-02  2.686368818419e+01  8.149368548779e+01  
  1.499684835502e-02  2.688325355781e+01  8.147436035155e+01  
  1.503141966090e-02  2.690281696908e+01  8.145499260000e+01  
  1.506607066187e-02  2.692237840934e+01  8.143558214791e+01  
  1.510080154164e-02  2.694193786989e+01  8.141612890996e+01  
  1.513561248436e-02  2.696149534199e+01  8.139663280068e+01  
  1.517050367459e-02  2.698105081687e+01  8.137709373453e+01  
  1.520547529732e-02  2.700060428573e+01  8.135751162583e+01  
  1.524052753797e-02  2.702015573972e+01  8.133788638881e+01  
  1.527566058238e-02  2.703970516996e+01  8.131821793759e+01  
  1.531087461682e-02  2.705925256753e+01  8.129850618617e+01  
  1.534616982799e-02  2.707879792347e+01  8.127875104844e+01  
  1.538154640303e-02  2.709834122878e+01  8.125895243820e+01  
  1.541700452950e-02  2.711788247444e+01  8.123911026913e+01  
  1.545254439538e-02  2.713742165138e+01  8.121922445479e+01  
  1.548816618912e-02  2.715695875049e+01  8.119929490867e+01  
  1.552387009958e-02  2.717649376261e+01  8.117932154411e+01  
  1.555965631605e-02  2.719602667858e+01  8.115930427436e+01  
  1.559552502827e-02  2.721555748916e+01  8.113924301258e+01  
  1.563147642641e-02  2.723508618509e+01  8.111913767180e+01  
  1.566751070108e-02  2.725461275708e+01  8.109898816496e+01  
  1.570362804334e-02  2.727413719579e+01  8.107879440489e+01  
  1.573982864466e-02  2.729365949183e+01  8.105855630431e+01  
  1.577611269699e-02  2.731317963580e+01  8.103827377585e+01  
  1.581248039270e-02  2.733269761823e+01  8.101794673201e+01  
  1.584893192461e-02  2.735221342963e+01  8.099757508522e+01  
  1.588546748598e-02  2.737172706047e+01  8.097715874777e+01  
  1.592208727051e-02  2.739123850117e+01  8.095669763188e+01  
  1.595879147237e-02  2.741074774212e+01  8.093619164966e+01  
  1.599558028615e-02  2.743025477366e+01  8.091564071309e+01  
